FID,ADDRESBR,BRNUM,BRSERTYP,CBSABR,CBSANAMB,CITYBR,CNTRYNAB,CNTYNAMB,DEPSUMBR,GEOCODE_CE,GEOCODE__1,NAMEBR,STALPBR,STCNTYBR,STNAMEBR,UNINUMBR,ZIPBR,CERT,ADDRESS,ASSET,BKCLASS,CITY,CNTRYNA,DENOVO,DEPDOM,NAMEFULL,NAMEHCR,REGAGNT,REPDTE,RSSDID,STALP,STCNTY,STNAME,ZIP,BKMO,LOC_NAME,STATUS,SCORE,x,y,GeocodeSou
13083,500 Shrewsbury Avenue,930,11,35620,"New York-Newark-Jersey City, NY-NJ-PA",Tinton Falls,United States,Monmouth,267234,2019,805001,Monmouth Regional Branch,NJ,34025,New Jersey,39979,7724,18409,2035 Limestone Road,219657450,N,Wilmington,United States,0,185609655,"TD Bank, National Association","TORONTO-DOMINION BANK, THE",OCC,2014-06-30T00:00:00.000Z,497404,DE,10003,DELAWARE,19808,0,Street_Address,T,75,-74.073067,40.324968,Business Analyst
13084,24 Grassy Plain Street,8,11,14860,"Bridgeport-Stamford-Norwalk, CT",Bethel,United States,Fairfield,104723,1000,200100,Bethel Branch,CT,9001,Connecticut,39980,6801,18190,226 Main Street,2297528,SB,Danbury,United States,0,1709234,Union Savings Bank, ,FDIC,2014-06-30T00:00:00.000Z,443205,CT,9001,CONNECTICUT,6810,0,PointAddress,M,100,-73.425962,41.377761,HSIP USA_ZIP4 Composite
13085,777 South Park Street,463,11,12060,"Atlanta-Sandy Springs-Roswell, GA",Carrollton,United States,Carroll,24466,5025,911100,Carrollton Main Branch,GA,13045,Georgia,39365,30117,12368,1900 Fifth Avenue North,117957348,SM,Birmingham,United States,0,96092993,Regions Bank,REGIONS FINANCIAL CORPORATION,FED,2014-06-30T00:00:00.000Z,233031,AL,1073,ALABAMA,35203,0,PointAddress,M,100,-85.078202,33.5691,HSIP USA_ZIP4 Composite
13086,3660 Havendale Boulevard NW,2224,11,29460,"Lakeland-Winter Haven, FL",Winter Haven,United States,Polk,41148,1008,13300,Auburndale Branch,FL,12105,Florida,39981,33881,9846,200 W 2nd St,183627331,NM,Winston Salem,United States,0,137818798,Branch Banking and Trust Company,BB&T CORPORATION,FDIC,2014-06-30T00:00:00.000Z,852320,NC,37067,NORTH CAROLINA,27101,0,PointAddress,M,100,-81.772752,28.052111,HSIP USA_ZIP4 Composite
13087,736 Peachtree Street,515,11,0, ,Louisville,United States,Jefferson,13723,4003,960300,Louisville Branch,GA,13163,Georgia,39366,30434,12368,1900 Fifth Avenue North,117957348,SM,Birmingham,United States,0,96092993,Regions Bank,REGIONS FINANCIAL CORPORATION,FED,2014-06-30T00:00:00.000Z,233031,AL,1073,ALABAMA,35203,0,PointAddress,M,100,-82.409541,33.00284,HSIP USA_ZIP4 Composite
13088,85 Freshwater Boulevard,10,11,25540,"Hartford-West Hartford-East Hartford, CT",Enfield,United States,Hartford,45154,4019,480800,Enfield Branch,CT,9003,Connecticut,39987,6082,18214,803 Main Street,1344691,SB,Willimantic,United States,0,1019405,Savings Institute Bank and Trust Company, ,OCC,2014-06-30T00:00:00.000Z,480808,CT,9015,CONNECTICUT,6226,0,StreetAddress,M,100,-72.576776,41.99112,HSIP USA_ZIP4 Composite
13089,41-06 Main Street,0,11,35620,"New York-Newark-Jersey City, NY-NJ-PA",Flushing,United States,Queens,197680,1000,84900,Amerasia Bank,NY,36081,New York,39368,11355,27267,41-06 Main Street,384141,NM,Flushing,United States,0,341477,Amerasia Bank, ,FDIC,2014-06-30T00:00:00.000Z,1169650,NY,36081,NEW YORK,11355,1,PostalExt,M,100,-73.826172,40.746031,HSIP USA_ZIP4 Composite
13090,21 Main Street,0,11,14460,"Boston-Cambridge-Newton, MA-NH",Franklin,United States,Norfolk,132800,1035,442202,Dean Co-Operative Bank,MA,25021,Massachusetts,39405,2038,27269,21 Main Street,248860,SB,Franklin,United States,0,217918,Dean Co-operative Bank, ,FDIC,2014-06-30T00:00:00.000Z,271275,MA,25021,MASSACHUSETTS,2038,1,PointAddress,M,100,-71.397731,42.08337,HSIP USA_ZIP4 Composite
13091,609 Castle Ridge Road,4020,11,12420,"Austin-Round Rock, TX",Austin,United States,Travis,465683,1001,1917,Bee Cave Rd & 360 Branch,TX,48453,Texas,39988,78746,3511,101 N. Phillips Avenue,1436828000,N,Sioux Falls,United States,0,1033620000,"Wells Fargo Bank, National Association",WELLS FARGO & COMPANY,OCC,2014-06-30T00:00:00.000Z,451965,SD,46099,SOUTH DAKOTA,57104,0,PointAddress,M,100,-97.829582,30.295851,HSIP USA_ZIP4 Composite
13092,8375 Southwest State Road 200,134,11,36100,"Ocala, FL",Ocala,United States,Marion,56030,1002,2605,Ocala Branch,FL,12083,Florida,39406,34481,110,17901 Chenal Parkway,6286084,NM,Little Rock,United States,0,5007375,Bank of the Ozarks,BANK OF THE OZARKS INC,FDIC,2014-06-30T00:00:00.000Z,107244,AR,5119,ARKANSAS,72223,0,PointAddress,M,89,-82.257911,29.078671,HSIP USA_ZIP4 Composite
13093,2979 North Loop West Freeway,279,11,26420,"Houston-The Woodlands-Sugar Land, TX",Houston,United States,Harris,350657,3002,511200,Northwest Branch,TX,48201,Texas,39409,77008,12441,1 Hancock Plaza,19225997,NM,Gulfport,United States,0,14923324,Whitney Bank,HANCOCK HOLDING COMPANY,FDIC,2014-06-30T00:00:00.000Z,463735,MS,28047,MISSISSIPPI,39501,0,StreetAddress,M,89,-95.448206,29.802192,HSIP USA_ZIP4 Composite
13094,"800 South Shackleford Road, Suite 210",738,11,30780,"Little Rock-North Little Rock-Conway, AR",Little Rock,United States,Pulaski,109150,1027,2407,Financial West Branch,AR,5119,Arkansas,39995,72211,12368,1900 Fifth Avenue North,117957348,SM,Birmingham,United States,0,96092993,Regions Bank,REGIONS FINANCIAL CORPORATION,FED,2014-06-30T00:00:00.000Z,233031,AL,1073,ALABAMA,35203,0,StreetAddress,M,100,-92.394145,34.746123,HSIP USA_ZIP4 Composite
13095,26500 Ridge Road,0,11,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Damascus,United States,Montgomery,114699,1002,700208,Damascus Community Bank,MD,24031,Maryland,39424,20872,27280,26500 Ridge Road,279637,NM,Damascus,United States,0,251897,Damascus Community Bank, ,FDIC,2014-06-30T00:00:00.000Z,1198614,MD,24031,MARYLAND,20872,1,PointAddress,M,100,-77.204981,39.29056,HSIP USA_ZIP4 Composite
13096,"4315 South 2700 West, Mail Code: 02-01-47",0,11,41620,"Salt Lake City, UT",Salt Lake City,United States,Salt Lake,13344412,1004,113520,American Express Centurion Bank,UT,49035,Utah,40088,84184,27471,"4315 South 2700 West, Mail Code: 02-01-47",31544724,NM,Salt Lake City,United States,0,13344412,American Express Centurion Bank,AMERICAN EXPRESS COMPANY,FDIC,2014-06-30T00:00:00.000Z,1394676,UT,49035,UTAH,84184,1,PointAddress,M,92,-111.957981,40.676851,HSIP USA_ZIP4 Composite
13097,4805 Lassen Lane,121,11,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Fredericksburg,United States,Spotsylvania,118021,1001,20204,Lassen Lane Branch,VA,51177,Virginia,39425,22401,34589,"1051 East Cary Street, Suite1200",7276243,SM,Richmond,United States,0,5743669,Union First Market Bank,UNION BANKSHARES CORPORATION,FED,2014-06-30T00:00:00.000Z,693224,VA,51760,VIRGINIA,23219,0,PointAddress,M,100,-77.496211,38.260731,HSIP USA_ZIP4 Composite
13098,16410 Heritage Boulevard,1028,11,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Bowie,United States,Prince George's,37161,1050,800516,Bowie Heritage Branch,MD,24033,Maryland,40090,20716,9846,200 W 2nd St,183627331,NM,Winston Salem,United States,0,137818798,Branch Banking and Trust Company,BB&T CORPORATION,FDIC,2014-06-30T00:00:00.000Z,852320,NC,37067,NORTH CAROLINA,27101,0,PointAddress,M,100,-76.719681,38.945651,HSIP USA_ZIP4 Composite
13099,3510 West Robinson,0,11,36420,"Oklahoma City, OK",Norman,United States,Cleveland,69815,3005,201507,Republic Bank & Trust,OK,40027,Oklahoma,39430,73069,27286,3510 West Robinson,442954,NM,Norman,United States,0,396962,Republic Bank & Trust,"IRONHORSE FINANCIAL GROUP, INC.",FDIC,2014-06-30T00:00:00.000Z,1198605,OK,40027,OKLAHOMA,73069,1,StreetAddress,M,100,-97.493422,35.232824,HSIP USA_ZIP4 Composite
